NAME                                                            VERSION       TYPE 
@babel/code-frame                                               7.14.5        npm   
@babel/compat-data                                              7.15.0        npm   
@babel/core                                                     7.15.5        npm   
@babel/generator                                                7.15.4        npm   
@babel/helper-annotate-as-pure                                  7.15.4        npm   
@babel/helper-builder-binary-assignment-operator-visitor        7.15.4        npm   
@babel/helper-compilation-targets                               7.15.4        npm   
@babel/helper-create-class-features-plugin                      7.15.4        npm   
@babel/helper-create-regexp-features-plugin                     7.14.5        npm   
@babel/helper-define-polyfill-provider                          0.2.3         npm   
@babel/helper-explode-assignable-expression                     7.15.4        npm   
@babel/helper-function-name                                     7.15.4        npm   
@babel/helper-get-function-arity                                7.15.4        npm   
@babel/helper-hoist-variables                                   7.15.4        npm   
@babel/helper-member-expression-to-functions                    7.15.4        npm   
@babel/helper-module-imports                                    7.15.4        npm   
@babel/helper-module-transforms                                 7.15.4        npm   
@babel/helper-optimise-call-expression                          7.15.4        npm   
@babel/helper-plugin-utils                                      7.14.5        npm   
@babel/helper-remap-async-to-generator                          7.15.4        npm   
@babel/helper-replace-supers                                    7.15.4        npm   
@babel/helper-simple-access                                     7.15.4        npm   
@babel/helper-skip-transparent-expression-wrappers              7.15.4        npm   
@babel/helper-split-export-declaration                          7.15.4        npm   
@babel/helper-validator-identifier                              7.14.9        npm   
@babel/helper-validator-option                                  7.14.5        npm   
@babel/helper-wrap-function                                     7.15.4        npm   
@babel/helpers                                                  7.15.4        npm   
@babel/highlight                                                7.14.5        npm   
@babel/parser                                                   7.15.5        npm   
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining  7.15.4        npm   
@babel/plugin-proposal-async-generator-functions                7.15.4        npm   
@babel/plugin-proposal-class-properties                         7.14.5        npm   
@babel/plugin-proposal-class-static-block                       7.15.4        npm   
@babel/plugin-proposal-dynamic-import                           7.14.5        npm   
@babel/plugin-proposal-export-namespace-from                    7.14.5        npm   
@babel/plugin-proposal-json-strings                             7.14.5        npm   
@babel/plugin-proposal-logical-assignment-operators             7.14.5        npm   
@babel/plugin-proposal-nullish-coalescing-operator              7.14.5        npm   
@babel/plugin-proposal-numeric-separator                        7.14.5        npm   
@babel/plugin-proposal-object-rest-spread                       7.14.7        npm   
@babel/plugin-proposal-optional-catch-binding                   7.14.5        npm   
@babel/plugin-proposal-optional-chaining                        7.14.5        npm   
@babel/plugin-proposal-private-methods                          7.14.5        npm   
@babel/plugin-proposal-private-property-in-object               7.15.4        npm   
@babel/plugin-proposal-unicode-property-regex                   7.14.5        npm   
@babel/plugin-syntax-async-generators                           7.8.4         npm   
